fixed acidity,chlorides,total sulfur dioxide,density,pH,sulphates,alcohol,quality,Id
7.4,0.076,34.0,0.9978,3.51,0.56,9.4,5,0
7.8,0.098,67.0,0.9968,3.2,0.68,9.8,5,1
7.8,0.092,54.0,0.997,3.26,0.65,9.8,5,2
11.2,0.075,60.0,0.998,3.16,0.58,9.8,6,3
7.4,0.076,34.0,0.9978,3.51,0.56,9.4,5,4
7.4,0.075,40.0,0.9978,3.51,0.56,9.4,5,5
7.9,0.069,59.0,0.9964,3.3,0.46,9.4,5,6
7.3,0.065,21.0,0.9946,3.39,0.47,10.0,7,7
7.8,0.073,18.0,0.9968,3.36,0.57,9.5,7,8
6.7,0.097,65.0,0.9959,3.28,0.54,9.2,5,10
5.6,0.08900000000000001,59.0,0.9943,3.58,0.52,9.9,5,12
7.8,0.114,29.0,0.9974,3.26,1.56,9.1,5,13
8.5,0.092,103.0,0.9969,3.3,0.75,10.5,7,16
7.9,0.341,56.0,0.9969,3.04,1.08,9.2,6,19
7.6,0.08199999999999999,71.0,0.9982,3.52,0.65,9.7,5,21
7.9,0.106,37.0,0.9966,3.17,0.91,9.5,5,22
8.5,0.084,67.0,0.9968,3.17,0.53,9.4,5,23
6.9,0.085,40.0,0.9968,3.43,0.63,9.7,6,24
6.3,0.08,23.0,0.9955,3.34,0.56,9.3,5,25
7.6,0.08,11.0,0.9962,3.28,0.59,9.5,5,26
7.1,0.08,35.0,0.9972,3.47,0.55,9.4,5,28
7.8,0.08199999999999999,16.0,0.9964,3.38,0.59,9.8,6,29
6.7,0.08900000000000001,82.0,0.9958,3.35,0.54,10.1,5,30
8.3,0.083,113.0,0.9966,3.17,0.66,9.8,5,32
5.2,0.103,50.0,0.9957,3.38,0.55,9.2,5,34
7.8,0.086,18.0,0.9986,3.4,0.55,9.6,6,35
7.8,0.086,15.0,0.9975,3.42,0.6,10.8,6,36
8.1,0.066,30.0,0.9968,3.23,0.73,9.7,7,37
7.3,0.07400000000000001,87.0,0.9978,3.33,0.83,10.5,5,40
8.8,0.08800000000000001,46.0,0.9976,3.26,0.51,9.3,4,41
7.5,0.332,14.0,0.9968,3.21,0.9,10.5,6,42
8.1,0.069,23.0,0.9968,3.3,1.2,10.3,5,43
4.6,0.054000000000000006,65.0,0.9934,3.9,0.56,13.1,4,45
7.7,0.114,114.0,0.997,3.25,0.73,9.2,5,46
8.8,0.07400000000000001,23.0,0.9971,3.15,0.74,9.2,5,50
6.6,0.069,15.0,0.9956,3.4,0.63,9.4,6,51
6.6,0.068,14.0,0.9955,3.39,0.64,9.4,6,52
8.6,0.081,119.0,0.997,3.2,0.56,9.4,5,53
7.6,0.11,73.0,0.9955,3.17,0.63,10.2,6,54
10.2,0.07,10.0,0.9971,3.04,0.63,9.6,5,56
7.8,0.076,54.0,0.9975,3.43,0.59,10.0,5,58
7.3,0.07400000000000001,46.0,0.9962,3.41,0.54,9.4,6,59
8.8,0.079,52.0,0.998,3.44,0.64,9.2,5,60
7.7,0.115,112.0,0.9968,3.21,0.71,9.3,5,61
7.0,0.081,54.0,0.9966,3.39,0.57,9.8,5,63
7.2,0.086,11.0,0.9962,3.41,0.39,10.9,5,64
7.2,0.086,11.0,0.9962,3.41,0.39,10.9,5,65
6.6,0.076,15.0,0.9962,3.44,0.58,10.7,5,67
8.0,0.07400000000000001,19.0,0.9962,3.34,0.95,10.5,6,69
